chantype,com_mech,num_procs,num_prod,num_cons,iterations,capacity,is_receiver,rank,byte,byte_indi,time,bandwidth,implementation,node
PT2PT,SPSC,2,1,1,10,0,Consumer,0,4,4,0.000005381,0.000692279,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,4,4,0.000005381,0.000692279,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,8,8,0.000005083,0.001465928,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,8,8,0.000005082,0.001465929,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,16,16,0.000004937,0.003018385,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,16,16,0.000004937,0.003018385,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,32,32,0.000008785,0.003392487,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,32,32,0.000008785,0.003392489,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,64,64,0.000009581,0.006221065,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,64,64,0.000009581,0.006221062,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,128,128,0.000018390,0.006482183,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,128,128,0.000018390,0.006482186,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,256,256,0.000036310,0.006566250,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,256,256,0.000036310,0.006566250,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,512,512,0.000073363,0.006499660,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,512,512,0.000073363,0.006499660,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,1024,1024,0.000142402,0.006697034,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,1024,1024,0.000142403,0.006697032,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,2048,2048,0.000285555,0.006679449,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,2048,2048,0.000285555,0.006679448,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,4096,4096,0.000571604,0.006673669,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,4096,4096,0.000571604,0.006673668,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,8192,8192,0.001122219,0.006798491,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,8192,8192,0.001122219,0.006798492,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,16384,16384,0.002195401,0.006950342,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,16384,16384,0.002195402,0.006950338,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,32768,32768,0.004142284,0.007367331,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,32768,32768,0.004142281,0.007367337,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,65536,65536,0.007257630,0.008409792,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,65536,65536,0.007257633,0.008409789,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,131072,131072,0.014389908,0.008483050,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,131072,131072,0.014389904,0.008483053,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,262144,262144,0.028902151,0.008447144,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,262144,262144,0.028902154,0.008447143,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,524288,524288,0.057728832,0.008458187,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,524288,524288,0.057728835,0.008458186,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,1048576,1048576,0.114172765,0.008553375,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,1048576,1048576,0.114172758,0.008553376,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,2097152,2097152,0.227946007,0.008568367,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,2097152,2097152,0.227945937,0.008568369,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,4194304,4194304,0.456067983,0.008565061,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,4194304,4194304,0.456068035,0.008565060,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Consumer,0,8388608,8388608,0.920753010,0.008484903,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
PT2PT,SPSC,2,1,1,10,0,Producer,1,8388608,8388608,0.920753023,0.008484903,openmpi/4.1.1-ucx-no-verbs-no-libfabric,node03
