chantype,com_mech,num_procs,num_prod,num_cons,iterations,capacity,is_receiver,rank,byte,byte_indi,time,bandwidth,implementation
PT2PT,SPSC,2,1,1,10,0,Consumer,0,4,4,0.000006840,0.000544633,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,4,4,0.000006840,0.000544633,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,8,8,0.000004310,0.001728673,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,8,8,0.000004310,0.001728674,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,16,16,0.000005830,0.002555945,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,16,16,0.000005830,0.002555944,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,32,32,0.000010910,0.002731652,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,32,32,0.000010910,0.002731653,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,64,64,0.000016900,0.003526902,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,64,64,0.000016900,0.003526900,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,128,128,0.000030240,0.003942106,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,128,128,0.000030240,0.003942107,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,256,256,0.000053800,0.004431572,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,256,256,0.000053800,0.004431573,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,512,512,0.000126320,0.003774835,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,512,512,0.000126320,0.003774836,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,1024,1024,0.000328360,0.002904356,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,1024,1024,0.000328360,0.002904355,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,2048,2048,0.000539360,0.003536318,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,2048,2048,0.000539360,0.003536320,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,4096,4096,0.001057990,0.003605608,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,4096,4096,0.001057990,0.003605608,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,8192,8192,0.001691960,0.004509205,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,8192,8192,0.001691960,0.004509205,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,16384,16384,0.003530190,0.004322370,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,16384,16384,0.003530190,0.004322370,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,32768,32768,0.005454800,0.005594628,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,32768,32768,0.005454800,0.005594628,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,65536,65536,0.010093410,0.006047030,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,65536,65536,0.010093411,0.006047030,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,131072,131072,0.019942830,0.006121013,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,131072,131072,0.019942827,0.006121013,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Consumer,0,262144,262144,0.041544770,0.005876567,OpenMPI
PT2PT,SPSC,2,1,1,10,0,Producer,1,262144,262144,0.041544770,0.005876567,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,4,4,0.000065100,0.000057224,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,4,4,0.000065100,0.000057224,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,8,8,0.000005930,0.001256422,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,8,8,0.000005930,0.001256422,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,16,16,0.000007240,0.002058171,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,16,16,0.000007240,0.002058171,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,32,32,0.000010400,0.002865608,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,32,32,0.000010400,0.002865607,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,64,64,0.000021810,0.002732904,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,64,64,0.000021810,0.002732906,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,128,128,0.000038730,0.003077957,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,128,128,0.000038730,0.003077958,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,256,256,0.000056150,0.004246101,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,256,256,0.000056150,0.004246101,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,512,512,0.000089700,0.005315910,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,512,512,0.000089700,0.005315911,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,1024,1024,0.000236560,0.004031427,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,1024,1024,0.000236560,0.004031427,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,2048,2048,0.000366110,0.005209769,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,2048,2048,0.000366110,0.005209768,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,4096,4096,0.000630190,0.006053249,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,4096,4096,0.000630190,0.006053250,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,8192,8192,0.001306600,0.005839120,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,8192,8192,0.001306601,0.005839117,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,16384,16384,0.002408570,0.006335207,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,16384,16384,0.002408570,0.006335206,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,32768,32768,0.005196720,0.005872469,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,32768,32768,0.005196717,0.005872473,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,65536,65536,0.010130270,0.006025028,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,65536,65536,0.010130268,0.006025029,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,131072,131072,0.020155060,0.006056559,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,131072,131072,0.020155066,0.006056557,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Consumer,0,262144,262144,0.038510740,0.006339546,OpenMPI
PT2PT,SPSC,2,1,1,10,1,Producer,1,262144,262144,0.038510758,0.006339544,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,4,4,0.000005560,0.000670016,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,4,4,0.000005560,0.000670016,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,8,8,0.000003900,0.001910405,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,8,8,0.000003900,0.001910405,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,16,16,0.000006670,0.002234057,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,16,16,0.000006670,0.002234057,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,32,32,0.000008850,0.003367494,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,32,32,0.000008850,0.003367494,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,64,64,0.000013490,0.004418432,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,64,64,0.000013490,0.004418432,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,128,128,0.000025990,0.004586737,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,128,128,0.000025990,0.004586735,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,256,256,0.000050190,0.004750320,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,256,256,0.000050190,0.004750318,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,512,512,0.000058180,0.008195895,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,512,512,0.000058180,0.008195895,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,1024,1024,0.000160900,0.005927124,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,1024,1024,0.000160900,0.005927126,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,2048,2048,0.000253250,0.007531485,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,2048,2048,0.000253250,0.007531482,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,4096,4096,0.000509180,0.007491844,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,4096,4096,0.000509180,0.007491846,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,8192,8192,0.000925820,0.008240689,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,8192,8192,0.000925820,0.008240689,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,16384,16384,0.001661710,0.009182582,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,16384,16384,0.001661710,0.009182582,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,32768,32768,0.003200700,0.009534657,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,32768,32768,0.003200699,0.009534661,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,65536,65536,0.007180380,0.008500268,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,65536,65536,0.007180382,0.008500266,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,131072,131072,0.014261990,0.008559136,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,131072,131072,0.014261987,0.008559138,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Consumer,0,262144,262144,0.027552250,0.008861005,OpenMPI
PT2PT,SPSC,2,1,1,10,2,Producer,1,262144,262144,0.027552253,0.008861004,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,4,4,0.000009280,0.000401432,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,4,4,0.000009280,0.000401432,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,8,8,0.000004760,0.001565248,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,8,8,0.000004760,0.001565248,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,16,16,0.000005500,0.002709302,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,16,16,0.000005500,0.002709301,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,32,32,0.000009170,0.003249981,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,32,32,0.000009170,0.003249981,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,64,64,0.000012860,0.004634887,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,64,64,0.000012860,0.004634889,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,128,128,0.000037040,0.003218393,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,128,128,0.000037040,0.003218394,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,256,256,0.000048210,0.004945418,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,256,256,0.000048210,0.004945418,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,512,512,0.000059600,0.008000623,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,512,512,0.000059600,0.008000623,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,1024,1024,0.000180860,0.005272997,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,1024,1024,0.000180860,0.005272998,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,2048,2048,0.000372710,0.005117514,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,2048,2048,0.000372710,0.005117513,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,4096,4096,0.000445820,0.008556586,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,4096,4096,0.000445820,0.008556586,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,8192,8192,0.001112950,0.006855110,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,8192,8192,0.001112950,0.006855111,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,16384,16384,0.001815110,0.008406537,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,16384,16384,0.001815110,0.008406539,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,32768,32768,0.003627310,0.008413281,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,32768,32768,0.003627310,0.008413280,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,65536,65536,0.007550210,0.008083902,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,65536,65536,0.007550213,0.008083899,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,131072,131072,0.014223370,0.008582376,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,131072,131072,0.014223373,0.008582374,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Consumer,0,262144,262144,0.027916340,0.008745438,OpenMPI
PT2PT,SPSC,2,1,1,10,3,Producer,1,262144,262144,0.027916338,0.008745439,OpenMPI
